PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,99.99828048,0.007689914,100,99.96560966,0.54,100,0,100,100,0.54,91.31809966,8.39616444,99.93632265,67.24958833
0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,99.99712365,0.012863427,100,99.94247301,0.55,100,0,100,100,0.55,91.0657055,8.496392933,99.92972539,66.93560608
0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,99.99561692,0.019601718,100,99.91233845,0.56,100,0,100,100,0.56,90.81584481,8.59394342,99.92214125,66.63085159
0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,99.99376739,0.027873069,100,99.87534784,0.57,100,0,100,100,0.57,90.56821008,8.688713308,99.9134707,66.33568471
0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,99.99132856,0.038123157,100,99.82938305,0.58,100,0,100,100,0.58,90.32243771,8.780829238,99.903708,66.04809997
0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,99.98790625,0.051061837,100,99.77127472,0.59,100,0,100,100,0.59,90.07797492,8.870345756,99.89284748,65.76817124
0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,99.98323059,0.067086303,100,99.69946713,0.6,100,0,100,100,0.6,89.83449058,8.957135644,99.88077634,65.49490177
0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,99.97736092,0.085370959,100,99.6180672,0.61,100,0,100,100,0.61,89.59204476,9.041198266,99.86779929,65.22817617
0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,99.97032003,0.105851169,100,99.52808832,0.62,100,0,100,100,0.62,89.35067377,9.12298998,99.85391638,64.96683138
0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,99.96147623,0.129190506,100,99.42878015,0.63,100,0,100,100,0.63,89.11008966,9.202674649,99.83896051,64.71107652
