PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,100,0,100,100,0.39,94.78879026,6.669642289,99.97334446,73.33887503
0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,100,0,100,100,0.4,94.54489408,6.82646274,99.96952502,72.85733167
0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,100,0,100,100,0.41,94.3019611,6.977637276,99.96556592,72.39124246
0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,100,0,100,100,0.42,94.05856328,7.123394266,99.96143992,71.93814039
0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,100,0,100,100,0.43,93.81433474,7.263755964,99.95718193,71.50102611
0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,100,0,100,100,0.44,93.57003605,7.399741656,99.95284983,71.08040046
0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,93.32573814,7.531916268,99.94840483,70.67308157
0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,93.08013891,7.66058867,99.94381244,70.27631684
0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,92.83247548,7.786201216,99.9391303,69.89013377
0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,92.58337331,7.909089439,99.93426426,69.51266896
0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,92.33287868,8.028700742,99.92899087,69.14374011
