PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,100,0,100,100,0.45,99.99999486,2.30E-05,100,99.99989726,0.45,100,0,100,100,0.45,93.54210249,7.237849748,99.95757426,71.32438396
0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,100,0,100,100,0.46,99.99999286,3.20E-05,100,99.9998571,0.46,100,0,100,100,0.46,93.29708377,7.369372647,99.95416426,70.92215702
0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,100,0,100,100,0.47,99.99999085,4.09E-05,100,99.99981695,0.47,100,0,100,100,0.47,93.05189485,7.498518719,99.95059942,70.52724972
0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,100,0,100,100,0.48,99.99998692,5.85E-05,100,99.99973837,0.48,100,0,100,100,0.48,92.80619646,7.624876421,99.94677234,70.14299265
0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,100,0,100,100,0.49,99.99998081,8.58E-05,100,99.99961619,0.49,100,0,100,100,0.49,92.55939238,7.74831871,99.9426006,69.76627752
0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,100,0,100,100,0.5,99.99996982,0.000129698,100,99.99941922,0.5,100,0,100,100,0.5,92.31118205,7.867928077,99.93787507,69.39835132
0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,100,0,100,100,0.51,99.99979194,0.000745012,100,99.996746,0.51,100,0,100,100,0.51,92.06139393,7.983158499,99.93272451,69.04066622
0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,100,0,100,100,0.52,99.99897346,0.004274816,100,99.98085976,0.52,100,0,100,100,0.52,91.80992946,8.093318831,99.92690822,68.69417341
0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,100,0,100,100,0.53,99.9972532,0.01177137,100,99.94728666,0.53,100,0,100,100,0.53,91.5568667,8.199307485,99.92062848,68.35481087
0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,99.99476618,0.022597021,100,99.89881937,0.54,100,0,100,100,0.54,91.30341694,8.300797141,99.91394179,68.02496912
0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,99.99133699,0.035697159,100,99.83985315,0.55,100,0,100,100,0.55,91.05053064,8.398560627,99.90692496,67.70355567
0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,99.98562304,0.050937439,100,99.77212139,0.56,100,0,100,100,0.56,90.79868352,8.492925698,99.89953543,67.39332619
0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,99.97716586,0.07023197,100,99.69135757,0.57,100,0,100,100,0.57,90.54818292,8.584337768,99.89151677,67.09154269
0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,99.9652258,0.096329749,100,99.58918056,0.58,100,0,100,100,0.58,90.29907026,8.673780981,99.88304057,66.79800751
0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,99.95071434,0.127943175,100,99.47243483,0.59,100,0,100,100,0.59,90.05177574,8.761353779,99.87437332,66.51076788
0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,99.93389387,0.163561961,100,99.35030577,0.6,100,0,100,100,0.6,89.80591095,8.846379653,99.86534949,66.23113624
0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,99.91468483,0.203809576,100,99.21972295,0.61,100,0,100,100,0.61,89.56147258,8.928553548,99.85589476,65.95815565
0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,99.89271206,0.248632966,100,99.08742597,0.62,100,0,100,100,0.62,89.31806562,9.008113213,99.84612403,65.69246792
