PGTV_Dose,PGTV_Vol_means,PGTV_Vol_vars,PGTV_Vol_maxs,PGTV_Vol_mins,GTV_Dose,GTV_Vol_means,GTV_Vol_vars,GTV_Vol_maxs,GTV_Vol_mins,PTV_Dose,PTV_Vol_means,PTV_Vol_vars,PTV_Vol_maxs,PTV_Vol_mins,CTV_Dose,CTV_Vol_means,CTV_Vol_vars,CTV_Vol_maxs,CTV_Vol_mins,Femoral Head_Dose,Femoral Head_Vol_means,Femoral Head_Vol_vars,Femoral Head_Vol_maxs,Femoral Head_Vol_mins,Bladder_Dose,Bladder_Vol_means,Bladder_Vol_vars,Bladder_Vol_maxs,Bladder_Vol_mins,Body_Dose,Body_Vol_means,Body_Vol_vars,Body_Vol_maxs,Body_Vol_mins
0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,100,0,100,100,0.54,99.99105121,0.040020192,100,99.82102426,0.54,100,0,100,100,0.54,91.33102661,8.464015051,99.87316124,67.36830448
0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,100,0,100,100,0.55,99.98807411,0.053250992,100,99.76183597,0.55,100,0,100,100,0.55,91.07803812,8.557959508,99.86290042,67.05283487
0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,100,0,100,100,0.56,99.98434156,0.068762127,100,99.69224888,0.56,100,0,100,100,0.56,90.82575173,8.649189006,99.85105255,66.74659093
0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,100,0,100,100,0.57,99.97967009,0.085983868,100,99.61493685,0.57,100,0,100,100,0.57,90.57449024,8.73837971,99.83743359,66.44825829
0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,100,0,100,100,0.58,99.97397323,0.105034884,100,99.53034806,0.58,100,0,100,100,0.58,90.32483404,8.825396176,99.82182466,66.15698989
0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,100,0,100,100,0.59,99.96716251,0.126260838,100,99.43825689,0.59,100,0,100,100,0.59,90.07710818,8.910232799,99.80476172,65.87435128
0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,100,0,100,100,0.6,99.95867589,0.150410605,100,99.33613973,0.6,100,0,100,100,0.6,89.83096254,8.992352635,99.78628898,65.5992421
0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,100,0,100,100,0.61,99.94824878,0.177646561,100,99.22406184,0.61,100,0,100,100,0.61,89.58589038,9.071944182,99.76611647,65.33058266
0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,100,0,100,100,0.62,99.93632286,0.207660211,100,99.10456092,0.62,100,0,100,100,0.62,89.34101491,9.149449645,99.74443089,65.06672919
0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,100,0,100,100,0.63,99.92266796,0.240744497,100,98.97834348,0.63,100,0,100,100,0.63,89.09629729,9.224399174,99.7214047,64.80839185
0.64,100,0,100,100,0.64,100,0,100,100,0.64,100,0,100,100,0.64,100,0,100,100,0.64,99.907493,0.276889646,100,98.84555931,0.64,100,0,100,100,0.64,88.85186156,9.296907527,99.69717137,64.5557645
0.65,100,0,100,100,0.65,100,0,100,100,0.65,100,0,100,100,0.65,100,0,100,100,0.65,99.89103446,0.315976535,100,98.7065638,0.65,100,0,100,100,0.65,88.60803469,9.367287141,99.67148539,64.30829726
0.66,100,0,100,100,0.66,100,0,100,100,0.66,100,0,100,100,0.66,100,0,100,100,0.66,99.87294901,0.358108326,100,98.56296392,0.66,100,0,100,100,0.66,88.36506814,9.435526961,99.64394784,64.06539762
0.67,100,0,100,100,0.67,100,0,100,100,0.67,100,0,100,100,0.67,100,0,100,100,0.67,99.85280537,0.403982705,100,98.41166093,0.67,100,0,100,100,0.67,88.12403052,9.50166714,99.61514906,63.82841813
0.68,100,0,100,100,0.68,100,0,100,100,0.68,100,0,100,100,0.68,100,0,100,100,0.68,99.83027266,0.454384492,100,98.25084385,0.68,100,0,100,100,0.68,87.88487183,9.566294377,99.58493751,63.59626653
0.69,100,0,100,100,0.69,100,0,100,100,0.69,100,0,100,100,0.69,100,0,100,100,0.69,99.80540533,0.509604458,100,98.08058268,0.69,100,0,100,100,0.69,87.64772598,9.629384085,99.55383113,63.36774378
0.7,100,0,100,100,0.7,100,0,100,100,0.7,100,0,100,100,0.7,100,0,100,100,0.7,99.77829384,0.569640143,100,97.90139957,0.7,100,0,100,100,0.7,87.41242992,9.691127801,99.52179697,63.14427127
0.71,100,0,100,100,0.71,100,0,100,100,0.71,100,0,100,100,0.71,100,0,100,100,0.71,99.748571,0.634412264,100,97.7130357,0.71,100,0,100,100,0.71,87.17962277,9.751116799,99.48855607,62.92570286
0.72,100,0,100,100,0.72,100,0,100,100,0.72,100,0,100,100,0.72,100,0,100,100,0.72,99.71611681,0.704745328,100,97.50969897,0.72,100,0,100,100,0.72,86.9487357,9.809763757,99.45480496,62.7106204
0.73,100,0,100,100,0.73,100,0,100,100,0.73,100,0,100,100,0.73,100,0,100,100,0.73,99.68177715,0.778935284,100,97.2998112,0.73,100,0,100,100,0.73,86.71953689,9.86689483,99.4203756,62.49994033
0.74,100,0,100,100,0.74,100,0,100,100,0.74,100,0,100,100,0.74,100,0,100,100,0.74,99.64572766,0.85655704,100,97.08520759,0.74,100,0,100,100,0.74,86.49215435,9.922787291,99.38497078,62.29260018
0.75,100,0,100,100,0.75,100,0,100,100,0.75,100,0,100,100,0.75,100,0,100,100,0.75,99.60836285,0.937002797,100,96.86549501,0.75,100,0,100,100,0.75,86.26630023,9.977084556,99.34832374,62.08924699
